id,name
almar,Almar
alvar,Alvar
arvilar,Arvilar
belvar,Belvar
brenar,Brenar
berdar,Berdar
cenvilar,Cenvilar
corynar,Corynar
dorvilar,Dorvilar
darymar,Darymar
dorvinar,Dorvinar
elmar,Elmar
elvar,Elvar
elynar,Elynar
falvinar,Falvinar
forylar,Forylar
frar,Frar
genvilar,Genvilar
grynar,Grynar
helvar,Helvar
horylar,Horylar
ilymar,Ilymar
irvinar,Irvinar
jorynar,Jorynar
jovilar,Jovilar
korvinar,Korvinar
krymar,Krymar
lorvar,Lorvar
lorynar,Lorynar
morylar,Morylar
morvilar,Morvilar
norymar,Norymar
norvilar,Norvilar
orynar,Orynar
orvinar,Orvinar
prymar,Prymar
prynar,Prynar
qorynar,Qorynar
quervinar,Quervinar
rilyar,Rilyar
rovilar,Rovilar
sorynar,Sorynar
sorvinar,Sorvinar
torymar,Torymar
torvilar,Torvilar
urynar,Urynar
urvinar,Urvinar
vorylar,Vorylar
vervilar,Vervilar
worynar,Worynar
xylar,Xylar
xarvilar,Xarvilar
yrymar,Yrymar
yorvinar,Yorvinar
zorynar,Zorynar
zarvilar,Zarvilar